,token,index
1051,갈려면_,1051
1052,도착지_,1052
1053,소지품_,1053
1054,주방장_,1054
1055,한동안_,1055
1056,전망대_,1056
1057,넘어졌_,1057
1058,웨이브_,1058
1059,났으니_,1059
1060,부가세_,1060
1061,테이프_,1061
1062,어쩌면_,1062
1063,조만간_,1063
1064,고구마_,1064
1065,수입자_,1065
1066,에이드_,1066
1067,인사과_,1067
1068,확인서_,1068
1069,무거운_,1069
1070,라니까_,1070
1071,우연히_,1071
1072,매운맛_,1072
1073,청소년_,1073
1074,태어나_,1074
1075,탑승구_,1075
1076,공모전_,1076
1077,길거리_,1077
1078,강해서_,1078
1079,볼래요_,1079
1080,빌려서_,1080
1081,골목길_,1081
1082,더운데_,1082
1083,몰라도_,1083
1084,놀이터_,1084
1085,서두르_,1085
1086,텀블러_,1086
1087,청정기_,1087
1088,다녀서_,1088
1089,다녀야_,1089
1090,플래시_,1090
1091,ATM_,1091
1092,줄거리_,1092
1093,올라온_,1093
1094,버스표_,1094
1095,무이자_,1095
1096,올라와_,1096
1097,사이다_,1097
1098,김슬기_,1098
1099,퇴직금_,1099
1100,중학교_,1100
1101,샤워실_,1101
1102,진행할_,1102
1103,돌아왔_,1103
1104,지원금_,1104
1105,선착순_,1105
1106,린다는_,1106
1107,하우스_,1107
1108,는걸요_,1108
1109,늘어났_,1109
1110,칵테일_,1110
1111,시리즈_,1111
1112,퍼센트_,1112
1113,소화제_,1113
1114,대상자_,1114
1115,컵라면_,1115
1116,이제야_,1116
1117,스크린_,1117
1118,잠실역_,1118
1119,수영복_,1119
1120,스토리_,1120
1121,돌잔치_,1121
1122,고파서_,1122
1123,유기농_,1123
1124,염색약_,1124
1125,하얀색_,1125
1126,수리비_,1126
1127,어쨌든_,1127
1128,멀리서_,1128
1129,라디오_,1129
1130,테라스_,1130
1131,점심때_,1131
1132,매출액_,1132
1133,여쭤볼_,1133
1134,드레스_,1134
1135,부득이_,1135
1136,차이점_,1136
1137,가습기_,1137
1138,제시간_,1138
1139,아래쪽_,1139
1140,올라서_,1140
1141,헤어지_,1141
1142,그랬었_,1142
1143,넘어지_,1143
1144,돌려받_,1144
1145,연구소_,1145
1146,에너지_,1146
1147,까다롭_,1147
1148,준비물_,1148
1149,다가오_,1149
1150,주무시_,1150
1151,너무나_,1151
1152,찾아뵙_,1152
1153,입원비_,1153
1154,살게요_,1154
1155,깨져서_,1155
1156,다면서_,1156
1157,관계자_,1157
1158,지나갔_,1158
1159,걸으면_,1159
1160,고픈데_,1160
1161,어려서_,1161
1162,귀중품_,1162
1163,번거롭_,1163
1164,놨어요_,1164
1165,무제한_,1165
1166,좌회전_,1166
1167,신호등_,1167
1168,집안일_,1168
1169,단기간_,1169
1170,전시관_,1170
1171,으신지_,1171
1172,골라서_,1172
1173,색연필_,1173
1174,VIP_,1174
1175,베이지_,1175
1176,서랍장_,1176
1177,으신데_,1177
1178,입소문_,1178
1179,러시아_,1179
1180,벗어나_,1180
1181,했으면_,1181
1182,아쉬운_,1182
1183,중학생_,1183
1184,직장인_,1184
1185,으로서_,1185
1186,뛰어가_,1186
1187,보인다_,1187
1188,일시불_,1188
1189,파트너_,1189
1190,콘텐츠_,1190
1191,투자자_,1191
1192,경력직_,1192
1193,다쳐서_,1193
1194,을래요_,1194
1195,아름답_,1195
1196,마라톤_,1196
1197,돌려주_,1197
1198,겹쳐서_,1198
1199,간다면_,1199
1200,커피숍_,1200
1201,디즈니_,1201
1202,유모차_,1202
1203,전광판_,1203
1204,곧바로_,1204
1205,헤드폰_,1205
1206,골고루_,1206
1207,매뉴얼_,1207
1208,누군가_,1208
1209,무서운_,1209
1210,임산부_,1210
1211,우회전_,1211
1212,카디건_,1212
1213,을수록_,1213
1214,판매자_,1214
1215,들으니_,1215
1216,로그인_,1216
1217,절대로_,1217
1218,퀄리티_,1218
1219,봐야지_,1219
1220,밑반찬_,1220
1221,운동장_,1221
